humidity_inside,temperature_inside,co2_inside,temperature_heater,temperature_wall_inside,state_air_quality
50.63,22.221,1112,46.812,11.75,1
50.75,22.686,1288,46.25,12.062,1
51.01,22.663,1414,47.25,12.125,1
48.67,22.418,1162,44.75,12.062,1
51.08,23.233,1610,46.687,12.375,1
52.53,23.278,1863,48.375,12.437,1
53.84,23.123,2036,44.437,12.437,2
55.53,19.34,906,25.062,10.687,1
46.72,18.492,451,19.625,10.687,1
45.31,19.618,509,42.687,11.375,1
48.99,22.538,1115,45.625,12.562,1
49.12,22.722,1261,48.875,12.562,1
48.87,22.808,1363,45.437,12.562,1
49.93,23.093,1637,49.062,12.75,1
50.88,22.87,1784,42.437,12.5,1
51.37,23.092,2005,44.5,12.562,2
52.0,23.262,2134,46.875,12.625,2
54.87,19.171,1174,22.437,9.812,1
40.66,18.014,395,29.75,9.75,1
45.14,20.396,673,47.562,10.875,1
46.3,22.442,1019,47.0,11.437,1
50.95,22.715,1660,49.0,11.625,1
48.68,22.917,1542,45.937,11.562,1
50.84,22.924,1643,48.312,11.562,1
52.39,22.471,1947,45.125,11.312,1
52.32,22.489,1994,37.125,11.187,1
53.07,22.527,2064,40.25,11.187,2
52.39,20.264,1046,38.187,10.375,1
45.04,19.96,638,35.187,10.125,1
49.53,20.021,666,46.5,10.5,1
42.94,21.996,675,45.187,11.437,1
43.23,22.022,750,43.937,11.437,1
43.95,22.575,965,46.937,11.75,1
46.02,22.732,1184,43.937,11.75,1
47.01,22.685,1293,43.5,11.875,1
46.27,22.811,1286,45.187,11.937,1
47.98,22.879,1554,41.187,11.875,1
52.62,20.013,1108,34.75,10.812,1
41.93,19.757,565,36.875,10.687,1
44.78,19.398,579,46.625,10.75,1
47.09,22.461,1179,44.562,11.75,1
48.67,22.619,1535,43.312,11.75,1
48.41,23.137,1782,45.625,11.937,1
49.5,23.213,2022,48.0,12.0,2
49.65,23.664,2344,44.562,12.187,2
50.71,23.577,2490,46.125,12.187,2
51.4,23.371,2674,43.812,12.125,2
53.88,19.332,1472,26.125,9.812,1
54.07,19.792,1551,43.812,10.437,1
44.25,20.67,712,47.125,10.937,1
48.43,22.671,1469,44.125,11.75,1
48.69,22.738,1556,45.937,11.75,1
47.6,22.711,1431,43.5,11.875,1
46.67,23.774,1841,47.0,12.0,1
47.64,23.214,1558,43.875,12.187,1
48.76,23.609,1912,46.375,12.375,1
50.43,23.424,2170,44.187,12.375,2
54.28,19.323,1287,25.312,10.187,1
51.56,21.156,1423,45.937,11.437,1
52.73,22.069,1658,48.062,11.75,1
53.34,22.821,1839,45.75,12.0,1
53.74,23.064,1984,44.062,12.125,1
51.62,23.025,1800,43.25,12.125,1
51.24,23.259,1904,43.625,12.25,1
53.23,23.404,1919,46.625,12.375,1
60.51,23.342,2148,45.312,12.437,2
63.02,23.445,2327,42.875,12.562,2
50.58,22.651,678,45.25,11.875,1
49.88,23.007,662,47.625,12.062,1
49.89,23.024,652,44.5,12.062,1
53.45,22.997,1622,45.0,12.187,1
53.7,23.213,1824,43.375,12.312,1
53.12,23.118,1767,43.062,12.312,1
50.53,23.21,1491,41.937,12.312,1
50.51,22.776,1227,35.25,12.187,1
53.01,22.784,1588,39.937,12.312,1
54.46,22.799,1861,38.375,12.375,1
56.28,19.551,1111,21.812,11.125,1
49.24,18.042,456,18.687,11.187,1
52.38,19.488,657,42.625,11.687,1
48.83,22.092,655,41.937,12.75,1
48.58,22.272,614,41.687,12.875,1
48.44,22.325,599,42.25,12.937,1
48.92,22.591,865,41.937,13.187,0
49.55,22.721,1113,42.0,13.312,1
51.16,22.8,1391,41.375,13.437,1
52.52,22.954,1647,41.5,13.5,1
57.17,19.957,1095,26.187,12.75,1
54.86,19.116,435,21.562,12.562,1
54.88,20.569,613,38.875,13.25,1
55.07,21.836,1037,35.625,14.125,1
58.71,22.175,1764,35.75,14.375,1
57.5,22.592,1936,36.437,14.562,1
56.4,22.294,1508,36.812,14.687,1
54.68,22.325,1032,36.437,14.812,1
55.23,22.519,1271,36.875,15.0,1
56.09,22.621,1436,36.5,15.125,1
55.76,20.335,789,24.187,14.125,1
56.36,20.365,979,23.5,14.0,1
48.91,19.055,423,27.437,13.875,1
50.98,22.083,916,38.25,14.937,0
52.11,22.404,1092,38.687,15.062,1
52.86,22.705,1330,39.437,15.125,1
53.26,22.964,1531,40.437,15.187,1
53.57,23.308,1928,39.5,15.375,1
53.99,23.456,2239,39.562,15.375,2
54.67,23.662,2606,39.187,15.437,2
75.51,20.288,1303,23.937,13.562,1
73.59,20.028,1187,24.375,13.437,1
62.49,19.42,748,36.75,13.562,1
58.91,22.385,1235,40.062,14.625,1
59.78,22.626,1478,39.75,14.75,1
59.94,22.647,1679,39.937,14.75,1
59.55,22.876,1812,41.0,14.875,1
60.25,23.08,1935,41.375,15.0,1
63.38,23.078,2102,40.5,15.0,2
65.12,23.11,2303,40.75,15.0,2
65.1,20.008,1321,22.562,12.687,1
54.17,19.765,964,22.687,12.812,1
54.58,20.193,731,41.687,13.187,1
53.5,23.234,1329,41.0,14.187,1
53.87,22.983,1389,40.937,14.062,1
54.88,22.898,1619,40.312,14.125,1
54.27,23.401,1901,41.75,14.25,1
55.32,23.385,2074,45.937,14.375,2
55.37,23.526,2302,42.187,14.375,2
56.59,23.605,2602,43.562,14.437,2
57.87,20.053,1169,25.0,12.0,1
56.3,21.189,1251,43.75,12.937,1
49.62,21.077,545,42.187,12.812,1
49.07,22.225,687,39.812,13.375,0
52.06,22.763,1139,40.625,13.625,1
52.08,23.215,1416,41.125,13.812,1
52.77,23.285,1628,41.0,13.937,1
59.85,23.379,1726,40.062,14.062,1
63.18,23.393,1939,40.187,14.125,1
64.63,23.393,2086,39.312,14.187,2
68.3,20.581,887,28.625,13.562,1
53.05,19.524,450,26.687,13.187,1
59.81,20.89,772,40.562,13.875,1
56.93,22.174,923,39.312,14.5,0
56.76,22.326,1014,39.312,14.625,1
56.94,22.562,1187,41.187,14.687,1
56.84,22.666,1225,40.125,14.75,1
56.71,22.909,1330,41.375,14.812,1
56.84,23.107,1501,40.562,14.875,1
57.17,23.118,1476,41.25,14.937,1
60.7,20.193,808,25.25,12.437,1
45.9,18.278,430,18.625,12.25,1
48.79,19.804,615,43.5,12.75,1
47.09,22.553,1055,42.687,13.625,1
49.16,22.866,1319,39.562,13.687,1
50.2,22.763,1494,40.75,13.562,1
51.05,23.029,1811,43.187,13.75,1
51.8,23.26,2140,41.687,13.75,2
52.81,23.26,2371,44.625,13.812,2
54.12,23.398,2596,42.187,13.812,2
57.18,19.862,1455,24.0,11.5,1
58.66,19.823,1487,24.625,11.5,1
57.76,18.408,528,18.0,11.5,1
52.26,21.562,904,41.812,13.062,0
